PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
1,3,1,22,1,0,7.25,0
2,1,2,38,1,0,71.2833,1
3,3,2,26,0,0,7.925,1
4,1,2,35,1,0,53.1,1
5,3,1,35,0,0,8.05,0
6,3,1,,0,0,8.4583,0
7,1,1,54,0,0,51.8625,0
8,3,1,2,3,1,21.075,0
9,3,2,27,0,2,11.1333,1
10,2,2,14,1,0,30.0708,1
11,3,2,4,1,1,16.7,1
12,1,2,58,0,0,26.55,1
13,3,1,20,0,0,8.05,0
14,3,1,39,1,5,31.275,0
15,3,2,14,0,0,7.8542,0
16,2,2,55,0,0,16,1
17,3,1,2,4,1,29.125,0
18,2,1,,0,0,13,1
19,3,2,31,1,0,18,0
20,3,2,,0,0,7.225,1
21,2,1,35,0,0,26,0
22,2,1,34,0,0,13,1
23,3,2,15,0,0,8.0292,1
24,1,1,28,0,0,35.5,1
25,3,2,8,3,1,21.075,0
26,3,2,38,1,5,31.3875,1
27,3,1,,0,0,7.225,0
28,1,1,19,3,2,263,0
29,3,2,,0,0,7.8792,1
30,3,1,,0,0,7.8958,0
31,1,1,40,0,0,27.7208,0
32,1,2,,1,0,146.5208,1
33,3,2,,0,0,7.75,1
34,2,1,66,0,0,10.5,0
35,1,1,28,1,0,82.1708,0
36,1,1,42,1,0,52,0
37,3,1,,0,0,7.2292,1
38,3,1,21,0,0,8.05,0
39,3,2,18,2,0,18,0
40,3,2,14,1,0,11.2417,1
41,3,2,40,1,0,9.475,0
42,2,2,27,1,0,21,0
43,3,1,,0,0,7.8958,0
44,2,2,3,1,2,41.5792,1
45,3,2,19,0,0,7.8792,1
46,3,1,,0,0,8.05,0
47,3,1,,1,0,15.5,0
48,3,2,,0,0,7.75,1
49,3,1,,2,0,21.6792,0
50,3,2,18,1,0,17.8,0
51,3,1,7,4,1,39.6875,0
52,3,1,21,0,0,7.8,0
53,1,2,49,1,0,76.7292,1
54,2,2,29,1,0,26,1
55,1,1,65,0,1,61.9792,0
56,1,1,,0,0,35.5,1
57,2,2,21,0,0,10.5,1
58,3,1,28.5,0,0,7.2292,0
59,2,2,5,1,2,27.75,1
60,3,1,11,5,2,46.9,0
61,3,1,22,0,0,7.2292,0
62,1,2,38,0,0,80,1
63,1,1,45,1,0,83.475,0
64,3,1,4,3,2,27.9,0
65,1,1,,0,0,27.7208,0
66,3,1,,1,1,15.2458,1
67,2,2,29,0,0,10.5,1
68,3,1,19,0,0,8.1583,0
69,3,2,17,4,2,7.925,1
70,3,1,26,2,0,8.6625,0
71,2,1,32,0,0,10.5,0
72,3,2,16,5,2,46.9,0
73,2,1,21,0,0,73.5,0
74,3,1,26,1,0,14.4542,0
75,3,1,32,0,0,56.4958,1
76,3,1,25,0,0,7.65,0
77,3,1,,0,0,7.8958,0
78,3,1,,0,0,8.05,0
79,2,1,0.83,0,2,29,1
80,3,2,30,0,0,12.475,1
81,3,1,22,0,0,9,0
82,3,1,29,0,0,9.5,1
83,3,2,,0,0,7.7875,1
84,1,1,28,0,0,47.1,0
85,2,2,17,0,0,10.5,1
86,3,2,33,3,0,15.85,1
87,3,1,16,1,3,34.375,0
88,3,1,,0,0,8.05,0
89,1,2,23,3,2,263,1
90,3,1,24,0,0,8.05,0
91,3,1,29,0,0,8.05,0
92,3,1,20,0,0,7.8542,0
93,1,1,46,1,0,61.175,0
94,3,1,26,1,2,20.575,0
95,3,1,59,0,0,7.25,0
96,3,1,,0,0,8.05,0
97,1,1,71,0,0,34.6542,0
98,1,1,23,0,1,63.3583,1
99,2,2,34,0,1,23,1
100,2,1,34,1,0,26,0
101,3,2,28,0,0,7.8958,0
102,3,1,,0,0,7.8958,0
103,1,1,21,0,1,77.2875,0
104,3,1,33,0,0,8.6542,0
105,3,1,37,2,0,7.925,0
106,3,1,28,0,0,7.8958,0
107,3,2,21,0,0,7.65,1
108,3,1,,0,0,7.775,1
109,3,1,38,0,0,7.8958,0
110,3,2,,1,0,24.15,1
111,1,1,47,0,0,52,0
112,3,2,14.5,1,0,14.4542,0
113,3,1,22,0,0,8.05,0
114,3,2,20,1,0,9.825,0
115,3,2,17,0,0,14.4583,0
116,3,1,21,0,0,7.925,0
117,3,1,70.5,0,0,7.75,0
118,2,1,29,1,0,21,0
119,1,1,24,0,1,247.5208,0
120,3,2,2,4,2,31.275,0
121,2,1,21,2,0,73.5,0
122,3,1,,0,0,8.05,0
123,2,1,32.5,1,0,30.0708,0
124,2,2,32.5,0,0,13,1
125,1,1,54,0,1,77.2875,0
126,3,1,12,1,0,11.2417,1
127,3,1,,0,0,7.75,0
128,3,1,24,0,0,7.1417,1
129,3,2,,1,1,22.3583,1
130,3,1,45,0,0,6.975,0
131,3,1,33,0,0,7.8958,0
132,3,1,20,0,0,7.05,0
133,3,2,47,1,0,14.5,0
134,2,2,29,1,0,26,1
135,2,1,25,0,0,13,0
136,2,1,23,0,0,15.0458,0
137,1,2,19,0,2,26.2833,1
138,1,1,37,1,0,53.1,0
139,3,1,16,0,0,9.2167,0
140,1,1,24,0,0,79.2,0
141,3,2,,0,2,15.2458,0
142,3,2,22,0,0,7.75,1
143,3,2,24,1,0,15.85,1
144,3,1,19,0,0,6.75,0
145,2,1,18,0,0,11.5,0
146,2,1,19,1,1,36.75,0
147,3,1,27,0,0,7.7958,1
148,3,2,9,2,2,34.375,0
149,2,1,36.5,0,2,26,0
150,2,1,42,0,0,13,0
151,2,1,51,0,0,12.525,0
152,1,2,22,1,0,66.6,1
153,3,1,55.5,0,0,8.05,0
154,3,1,40.5,0,2,14.5,0
155,3,1,,0,0,7.3125,0
156,1,1,51,0,1,61.3792,0
157,3,2,16,0,0,7.7333,1
158,3,1,30,0,0,8.05,0
159,3,1,,0,0,8.6625,0
